Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-18975,User permission escalation detected on cloud platform.,Software,Peter,John Wick,Avengers II,Service B,New,High,Medium,Medium,Low,28/06/2025 05:01:05,,,Saturday,
CR-18976,Backup server unreachable: Error code 502.,Hardware,John Wick,Michal,Matrix,Service A,Closed,Low,Medium,High,High,28/06/2025 00:41:18,28/06/2025 06:37:02,29/06/2025 18:46:50,Saturday,29/06/2025 18:46:50
CR-18977,Unencrypted sensitive file shared externally.,Failure,Thor,John Wick,Avengers,Service B,Closed,High,Medium,Medium,High,28/06/2025 12:45:40,28/06/2025 19:37:41,30/06/2025 16:06:56,Saturday,30/06/2025 16:06:56
CR-18978,Unencrypted sensitive file shared externally.,Network,Thor,Thor,Avengers,Service C,Closed,Low,High,Medium,Medium,28/06/2025 00:46:19,28/06/2025 06:49:04,29/06/2025 12:19:10,Saturday,29/06/2025 12:19:10
CR-18979,Malware detected on endpoint: Quarantine initiated.,Software,Thor,Iron Man,Matrix,Service A,In Progress,Medium,Medium,Low,Low,28/06/2025 20:36:16,28/06/2025 23:11:14,,Saturday,
CR-18980,System configuration error: Permissions incorrectly set.,Complaint,Black Panther,Thor,Matrix,Service A,Closed,Low,Medium,Medium,Medium,28/06/2025 20:04:55,29/06/2025 00:01:56,30/06/2025 09:24:40,Saturday,30/06/2025 09:24:40
CR-18981,Performance report: Sluggish response times on application.,Complaint,John Wick,Black Panther,Avengers II,Service A,Closed,Medium,Low,High,Medium,28/06/2025 19:51:24,28/06/2025 23:09:26,30/06/2025 19:57:28,Saturday,30/06/2025 19:57:28
CR-18982,Login attempt from blacklisted IP address blocked.,Complaint,Iron Man,Hulk,Avengers,Service A,On Hold,Low,High,High,High,28/06/2025 07:36:21,,,Saturday,
CR-18983,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Facilities,Hulk,Thor,Matrix,Service C,Closed,Low,Low,High,Low,28/06/2025 02:28:13,28/06/2025 05:35:20,28/06/2025 13:59:42,Saturday,28/06/2025 13:59:42
CR-18984,Network issue: Unable to connect to external API.,Complaint,Black Panther,Thor,Matrix,Service C,Closed,Medium,Medium,High,Medium,28/06/2025 16:41:14,28/06/2025 21:19:11,29/06/2025 06:29:32,Saturday,29/06/2025 06:29:32
CR-18985,Suspicious API calls detected: Abnormal volume of requests identified.,Network,Thor,Peter,Matrix,Service B,Closed,Low,Medium,Low,Low,28/06/2025 15:50:46,28/06/2025 18:05:44,29/06/2025 07:09:06,Saturday,29/06/2025 07:09:06
CR-18986,Failed security training attempt recorded in training portal.,Failure,Jan,Captain America,Avengers,Service A,Closed,Low,Medium,Medium,High,28/06/2025 22:28:00,29/06/2025 01:11:17,29/06/2025 22:11:33,Saturday,29/06/2025 22:11:33
CR-18987,System configuration error: Permissions incorrectly set.,Software,Iron Man,Hulk,Avengers,Service B,Closed,Medium,Low,Medium,High,28/06/2025 04:20:57,28/06/2025 11:27:17,30/06/2025 00:01:59,Saturday,30/06/2025 00:01:59
CR-18988,Failed Workflow - ID: 0000,Failure,Peter,Hulk,Avengers II,Service C,Closed,High,Medium,High,Low,28/06/2025 01:17:35,28/06/2025 06:01:29,28/06/2025 16:47:59,Saturday,28/06/2025 16:47:59
CR-18989,Unusual system reboot detected on DevOps environment.,Facilities,Jan,Martin,Avengers,Service A,On Hold,Medium,High,Low,High,28/06/2025 04:40:57,,,Saturday,
CR-18990,Security patch missing: Update not applied on critical server.,Failure,Black Panther,Black Panther,Avengers II,Service B,Closed,Medium,High,Medium,Medium,28/06/2025 12:44:10,28/06/2025 17:57:26,29/06/2025 01:05:50,Saturday,29/06/2025 01:05:50
CR-18991,Critical system alert: Root access attempted on production server.,Access,Iron Man,Captain America,Matrix,Service A,New,Low,High,High,Low,28/06/2025 15:26:40,,,Saturday,
CR-18992,Network scanning tool triggered security alert.,Failure,Thor,Captain America,Avengers II,Service C,On Hold,High,High,Medium,High,28/06/2025 15:57:31,,,Saturday,
CR-18993,Unauthorized device connected: MAC address not whitelisted.,Hardware,Martin,Captain America,Avengers,Service B,Closed,Low,Medium,High,High,28/06/2025 14:41:57,28/06/2025 20:15:23,29/06/2025 07:48:53,Saturday,29/06/2025 07:48:53
CR-18994,Ransomware attack detected: Encrypted files observed on endpoint.,Data,Thor,John Wick,Avengers II,Service A,Closed,Low,Low,Low,High,28/06/2025 18:48:55,28/06/2025 21:51:59,29/06/2025 16:15:50,Saturday,29/06/2025 16:15:50
CR-18995,Database schema corruption: Unable to read or query data tables.,Failure,John Wick,Black Panther,Avengers II,Service A,Closed,Low,Low,High,Medium,28/06/2025 19:03:41,29/06/2025 00:48:11,30/06/2025 12:48:35,Saturday,30/06/2025 12:48:35
CR-18996,Data exfiltration alert: Large outbound transfer from server.,Data,Martin,Peter,Avengers II,Service B,Closed,Low,High,High,Low,28/06/2025 09:02:37,28/06/2025 17:50:16,29/06/2025 10:20:33,Saturday,29/06/2025 10:20:33
CR-18997,VPN connection failure: Unable to securely tunnel data.,Access,Iron Man,Hulk,Matrix,Service A,New,Medium,Low,Medium,Medium,28/06/2025 18:26:41,,,Saturday,
CR-18998,Unscheduled software change: Application version rolled back.,Hardware,Black Panther,Peter,Avengers II,Service C,On Hold,Low,Low,Low,Low,28/06/2025 04:15:47,,,Saturday,
CR-18999,Endpoint offline: Device not syncing with central server.,Hardware,John Wick,Jan,Matrix,Service B,Closed,High,Medium,Low,High,28/06/2025 18:24:14,28/06/2025 21:11:16,30/06/2025 12:18:27,Saturday,30/06/2025 12:18:27
CR-19000,DNS attack detected: Unusual query patterns observed.,Facilities,Jan,Captain America,Matrix,Service B,Closed,High,Low,Medium,Medium,28/06/2025 04:02:01,28/06/2025 10:39:28,30/06/2025 04:26:37,Saturday,30/06/2025 04:26:37
CR-19001,Failed packet inspection: Firewall rules misconfigured.,Data,Thor,Hulk,Avengers,Service B,Closed,High,Medium,Medium,Medium,28/06/2025 13:10:34,28/06/2025 17:39:19,30/06/2025 12:33:49,Saturday,30/06/2025 12:33:49
CR-19002,Unpatched vulnerability flagged: CVE report mismatch detected.,Failure,Black Panther,Hulk,Matrix,Service A,Closed,Medium,Low,High,Low,28/06/2025 17:35:50,28/06/2025 22:58:04,29/06/2025 02:14:22,Saturday,29/06/2025 02:14:22
CR-19003,Antivirus disabled on workstation: Protection compromised.,Data,Michal,Martin,Avengers,Service A,New,High,High,Low,High,28/06/2025 14:34:14,,,Saturday,
CR-19004,Critical security incident logged: Immediate remediation required.,Access,Black Panther,Black Panther,Matrix,Service C,Closed,Medium,Low,Low,Low,28/06/2025 06:48:33,28/06/2025 12:30:49,29/06/2025 06:37:31,Saturday,29/06/2025 06:37:31
CR-19005,Unpatched vulnerability flagged: CVE report mismatch detected.,Software,Thor,Martin,Matrix,Service C,Closed,Low,Medium,Low,Medium,28/06/2025 21:22:24,29/06/2025 03:52:04,29/06/2025 12:58:03,Saturday,29/06/2025 12:58:03
CR-19006,Cloud instance misconfiguration: Public access enabled.,Hardware,Thor,Jan,Avengers,Service B,Closed,High,Medium,Medium,Medium,28/06/2025 01:09:11,28/06/2025 09:06:53,29/06/2025 18:46:00,Saturday,29/06/2025 18:46:00
CR-19007,Suspicious API calls detected: Abnormal volume of requests identified.,Facilities,Martin,Martin,Avengers II,Service A,Closed,Medium,Low,Medium,Low,28/06/2025 04:00:27,28/06/2025 07:23:09,28/06/2025 18:06:29,Saturday,28/06/2025 18:06:29
CR-19008,User permission escalation detected on cloud platform.,Complaint,Jan,Martin,Avengers II,Service B,On Hold,Medium,Medium,High,Medium,28/06/2025 03:41:05,,,Saturday,
CR-19009,Email flagged as phishing: Sensitive keywords detected.,Failure,Iron Man,Captain America,Avengers,Service C,Closed,Medium,Low,Medium,High,28/06/2025 07:40:24,28/06/2025 11:04:24,30/06/2025 06:54:26,Saturday,30/06/2025 06:54:26
CR-19010,Firewall breach: Unauthorized access through open port.,Failure,Hulk,Captain America,Avengers II,Service C,In Progress,Low,Medium,High,Low,28/06/2025 14:30:30,28/06/2025 17:06:55,,Saturday,
CR-19011,Unauthorized access attempt detected: IP flagged as suspicious.,Facilities,Martin,Jan,Matrix,Service B,Closed,High,High,Medium,High,28/06/2025 04:20:35,28/06/2025 13:18:11,30/06/2025 02:09:43,Saturday,30/06/2025 02:09:43
CR-19012,Ransomware attack detected: Encrypted files observed on endpoint.,Complaint,Martin,Hulk,Matrix,Service B,Closed,High,High,Medium,Low,28/06/2025 12:01:55,28/06/2025 18:06:32,29/06/2025 08:46:10,Saturday,29/06/2025 08:46:10
CR-19013,USB device blocked: Removable media protection active.,Data,Peter,Iron Man,Matrix,Service A,Closed,High,Medium,Medium,Low,28/06/2025 09:30:19,28/06/2025 11:30:26,30/06/2025 07:20:28,Saturday,30/06/2025 07:20:28
CR-19014,Network issue: Unable to connect to external API.,Hardware,Thor,Jan,Matrix,Service B,Closed,Medium,High,Low,High,28/06/2025 14:36:58,28/06/2025 21:52:49,29/06/2025 05:59:24,Saturday,29/06/2025 05:59:24
CR-19015,Failed SSO login: Invalid credentials provided.,Software,Michal,Hulk,Matrix,Service A,Closed,High,High,Low,Low,28/06/2025 00:21:52,28/06/2025 05:47:03,29/06/2025 22:02:04,Saturday,29/06/2025 22:02:04
CR-19016,Endpoint offline: Device not syncing with central server.,Facilities,Martin,Iron Man,Avengers II,Service A,Closed,High,Low,Low,High,28/06/2025 14:22:54,28/06/2025 21:39:13,29/06/2025 08:13:14,Saturday,29/06/2025 08:13:14
CR-19017,DDoS attack mitigation active: Rate-limiting initiated.,Facilities,Hulk,Martin,Avengers,Service A,New,Medium,Low,Medium,Low,28/06/2025 06:48:43,,,Saturday,
CR-19018,Suspicious activity detected on account: User A.,Facilities,John Wick,John Wick,Avengers II,Service B,New,Low,Medium,High,Low,28/06/2025 09:45:15,,,Saturday,
CR-19019,Unusual system reboot detected on DevOps environment.,Complaint,Iron Man,Captain America,Matrix,Service C,Closed,Medium,Low,Low,Low,28/06/2025 13:21:41,28/06/2025 20:57:03,30/06/2025 16:59:17,Saturday,30/06/2025 16:59:17
CR-19020,Network issue: Unable to connect to external API.,Access,Iron Man,Black Panther,Avengers II,Service C,Closed,Low,Low,Medium,Medium,28/06/2025 22:31:14,29/06/2025 01:13:08,30/06/2025 03:14:17,Saturday,30/06/2025 03:14:17
CR-19021,Red team simulation detected: Penetration testing execution.,Network,John Wick,Captain America,Avengers,Service C,Closed,Medium,Medium,High,Medium,29/06/2025 20:38:42,30/06/2025 02:58:23,01/07/2025 01:41:59,Sunday,01/07/2025 01:41:59
CR-19022,Backup server unreachable: Error code 502.,Data,Black Panther,Peter,Matrix,Service A,Closed,Medium,Low,High,Medium,29/06/2025 19:53:00,30/06/2025 02:19:12,01/07/2025 04:45:02,Sunday,01/07/2025 04:45:02
CR-19023,Social engineering attempt flagged: Fake support request identified.,Network,Hulk,Black Panther,Avengers,Service B,New,High,Medium,Medium,Medium,29/06/2025 12:26:56,,,Sunday,
CR-19024,Failed security training attempt recorded in training portal.,Facilities,Iron Man,Thor,Avengers,Service A,Closed,Low,Medium,Medium,High,29/06/2025 08:51:40,29/06/2025 15:03:21,29/06/2025 17:16:44,Sunday,29/06/2025 17:16:44
CR-19025,Social engineering attempt flagged: Fake support request identified.,Software,Jan,Hulk,Matrix,Service B,Closed,High,Medium,Medium,Low,29/06/2025 12:36:00,29/06/2025 21:31:57,01/07/2025 07:40:48,Sunday,01/07/2025 07:40:48
CR-19026,Email flagged as phishing: Sensitive keywords detected.,Access,Michal,Thor,Avengers II,Service B,Closed,High,Low,Low,High,29/06/2025 22:02:15,30/06/2025 03:28:47,01/07/2025 19:41:07,Sunday,01/07/2025 19:41:07
CR-19027,Server reboot required: Kernel update incomplete.,Data,Hulk,Martin,Avengers,Service B,Closed,Medium,High,Medium,Medium,29/06/2025 20:03:10,30/06/2025 00:39:42,01/07/2025 09:03:27,Sunday,01/07/2025 09:03:27
CR-19028,Power failure simulation triggered during red team activity.,Data,Captain America,Thor,Matrix,Service B,On Hold,Low,Medium,Medium,Medium,29/06/2025 01:39:41,,,Sunday,
CR-19029,Database schema corruption: Unable to read or query data tables.,Data,Captain America,Iron Man,Matrix,Service A,Closed,Medium,Medium,Low,Low,29/06/2025 07:21:00,29/06/2025 10:01:40,29/06/2025 23:06:12,Sunday,29/06/2025 23:06:12
CR-19030,Service outage detected - No connection to database.,Failure,Captain America,Iron Man,Avengers II,Service A,Closed,Low,Medium,High,Low,29/06/2025 04:11:35,29/06/2025 10:13:22,30/06/2025 22:54:26,Sunday,30/06/2025 22:54:26
CR-19031,User login failed: Account locked due to excessive login attempts.,Network,Hulk,Iron Man,Avengers II,Service B,On Hold,High,Medium,High,Low,29/06/2025 21:54:13,,,Sunday,
CR-19032,SQL injection attempt: Unauthorized queries flagged.,Complaint,Michal,Hulk,Matrix,Service C,New,Medium,Medium,Medium,Medium,29/06/2025 22:45:46,,,Sunday,
CR-19033,Malicious macro executed within Office file.,Failure,Thor,Thor,Avengers II,Service A,New,High,High,Medium,High,29/06/2025 06:51:30,,,Sunday,
CR-19034,Cloud instance misconfiguration: Public access enabled.,Software,Captain America,Jan,Matrix,Service A,Closed,Medium,High,Medium,High,29/06/2025 07:03:45,29/06/2025 15:48:48,30/06/2025 16:18:13,Sunday,30/06/2025 16:18:13
CR-19035,Suspicious API calls detected: Abnormal volume of requests identified.,Complaint,John Wick,Peter,Avengers II,Service B,Closed,Low,Low,Medium,Medium,29/06/2025 04:18:30,29/06/2025 06:26:14,29/06/2025 12:03:36,Sunday,29/06/2025 12:03:36
CR-19036,Failed Workflow - ID: 0000,Software,Iron Man,Michal,Avengers II,Service B,Closed,Low,High,Low,Medium,29/06/2025 02:52:46,29/06/2025 04:58:16,01/07/2025 01:10:53,Sunday,01/07/2025 01:10:53
CR-19037,SOC analyst triggered investigation for suspicious server activity.,Access,Martin,John Wick,Avengers II,Service A,Closed,Medium,Low,Low,High,29/06/2025 02:56:16,29/06/2025 08:36:26,29/06/2025 16:05:20,Sunday,29/06/2025 16:05:20
CR-19038,VPN connection failure: Unable to securely tunnel data.,Data,Michal,Black Panther,Matrix,Service B,Closed,Low,High,High,High,29/06/2025 05:22:03,29/06/2025 11:42:10,30/06/2025 04:16:05,Sunday,30/06/2025 04:16:05
CR-19039,Cross-site scripting (XSS) detected on customer portal.,Data,Captain America,Thor,Matrix,Service B,Closed,Low,Low,Medium,High,29/06/2025 19:00:38,29/06/2025 23:54:02,01/07/2025 02:59:55,Sunday,01/07/2025 02:59:55
CR-19040,SQL injection attempt: Unauthorized queries flagged.,Software,Hulk,Michal,Avengers,Service C,Closed,Low,High,Medium,Low,29/06/2025 13:36:47,29/06/2025 19:47:24,30/06/2025 23:26:49,Sunday,30/06/2025 23:26:49
CR-19041,Failed malware removal: Corrupted file system detected.,Network,John Wick,Thor,Avengers II,Service B,Closed,Low,Medium,Low,Medium,29/06/2025 07:49:53,29/06/2025 12:27:18,01/07/2025 08:00:31,Sunday,01/07/2025 08:00:31
CR-19042,Network scanning tool triggered security alert.,Hardware,Jan,Iron Man,Avengers,Service A,Closed,Medium,Low,Low,High,29/06/2025 13:05:58,29/06/2025 15:46:44,30/06/2025 10:44:07,Sunday,30/06/2025 10:44:07
CR-19043,Expired password reset request: User notified.,Network,Captain America,Captain America,Avengers,Service A,Closed,High,Low,High,High,29/06/2025 13:04:20,29/06/2025 20:46:12,30/06/2025 03:49:26,Sunday,30/06/2025 03:49:26
CR-19044,ARP spoofing detected: Network traffic rerouted.,Facilities,Captain America,Black Panther,Avengers II,Service B,Closed,Low,Medium,Low,Low,29/06/2025 00:05:45,29/06/2025 02:29:22,29/06/2025 06:31:32,Sunday,29/06/2025 06:31:32
CR-19045,Critical security incident logged: Immediate remediation required.,Hardware,Hulk,Michal,Avengers,Service B,Closed,Medium,Medium,High,Low,29/06/2025 04:41:54,29/06/2025 13:36:15,30/06/2025 16:43:09,Sunday,30/06/2025 16:43:09
CR-19046,User login failed: Account locked due to excessive login attempts.,Access,Hulk,Hulk,Avengers,Service B,Closed,High,Low,Low,Low,29/06/2025 22:35:40,30/06/2025 04:52:17,01/07/2025 15:35:47,Sunday,01/07/2025 15:35:47
CR-19047,Unauthorized device connected: MAC address not whitelisted.,Failure,Martin,Captain America,Avengers,Service C,Closed,High,High,Medium,Medium,29/06/2025 21:25:31,30/06/2025 00:15:29,30/06/2025 16:51:17,Sunday,30/06/2025 16:51:17
CR-19048,DDoS attack mitigation active: Rate-limiting initiated.,Complaint,Michal,John Wick,Avengers II,Service B,Closed,Medium,Medium,High,High,29/06/2025 16:29:46,29/06/2025 18:44:47,29/06/2025 22:13:32,Sunday,29/06/2025 22:13:32
CR-19049,USB device blocked: Removable media protection active.,Complaint,Martin,Black Panther,Avengers,Service A,Closed,Low,Medium,High,Low,29/06/2025 23:15:52,30/06/2025 01:37:20,30/06/2025 13:47:57,Sunday,30/06/2025 13:47:57
CR-19050,DNS attack detected: Unusual query patterns observed.,Software,Hulk,Martin,Avengers II,Service B,Closed,Low,Medium,Medium,Low,29/06/2025 04:54:51,29/06/2025 12:32:29,30/06/2025 03:32:28,Sunday,30/06/2025 03:32:28
CR-19051,DDoS attack detected: High traffic spotted on critical service.,Data,Hulk,Peter,Matrix,Service A,Closed,Low,Medium,Medium,High,29/06/2025 05:59:35,29/06/2025 09:30:12,29/06/2025 19:50:15,Sunday,29/06/2025 19:50:15
CR-19052,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Facilities,Iron Man,Jan,Avengers,Service B,Closed,Low,High,Low,High,29/06/2025 17:38:47,29/06/2025 20:11:48,01/07/2025 05:40:02,Sunday,01/07/2025 05:40:02
CR-19053,Expired password reset request: User notified.,Facilities,Michal,Martin,Avengers,Service A,Closed,Low,High,Medium,Low,29/06/2025 21:51:13,30/06/2025 06:15:09,01/07/2025 17:12:00,Sunday,01/07/2025 17:12:00
CR-19054,Service outage detected - No connection to database.,Network,Thor,Hulk,Matrix,Service A,Closed,High,Low,Medium,High,29/06/2025 02:58:32,29/06/2025 08:08:55,30/06/2025 06:04:23,Sunday,30/06/2025 06:04:23
CR-19055,Failed Workflow - ID: 0000,Software,Iron Man,Black Panther,Avengers II,Service C,Closed,High,Medium,Medium,High,29/06/2025 01:54:17,29/06/2025 09:14:49,29/06/2025 19:22:35,Sunday,29/06/2025 19:22:35
CR-19056,Unpatched vulnerability flagged: CVE report mismatch detected.,Data,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,High,High,29/06/2025 17:55:10,30/06/2025 02:43:40,30/06/2025 23:16:36,Sunday,30/06/2025 23:16:36
CR-19057,Failed security training attempt recorded in training portal.,Access,Captain America,Peter,Avengers II,Service B,Closed,Medium,Low,High,Low,29/06/2025 03:01:50,29/06/2025 11:37:21,29/06/2025 21:49:16,Sunday,29/06/2025 21:49:16
CR-19058,Failed packet inspection: Firewall rules misconfigured.,Network,Iron Man,John Wick,Matrix,Service B,Closed,Medium,Low,High,High,29/06/2025 20:39:10,29/06/2025 23:04:01,30/06/2025 10:43:29,Sunday,30/06/2025 10:43:29
CR-19059,Social engineering attempt flagged: Fake support request identified.,Hardware,Martin,Thor,Matrix,Service B,Closed,Medium,Medium,Medium,High,29/06/2025 02:45:15,29/06/2025 08:48:13,30/06/2025 17:19:55,Sunday,30/06/2025 17:19:55
CR-19060,Network scanning tool triggered security alert.,Complaint,Thor,John Wick,Avengers II,Service A,Closed,Medium,High,Medium,High,29/06/2025 22:35:08,30/06/2025 04:56:33,01/07/2025 11:47:05,Sunday,01/07/2025 11:47:05
CR-19061,Firewall breach: Unauthorized access through open port.,Data,Martin,Thor,Avengers II,Service A,Closed,High,High,High,High,29/06/2025 03:52:06,29/06/2025 10:05:49,29/06/2025 14:52:21,Sunday,29/06/2025 14:52:21
CR-19062,Service outage detected - No connection to database.,Data,John Wick,Captain America,Matrix,Service B,Closed,Medium,Medium,High,Medium,29/06/2025 03:57:31,29/06/2025 07:00:41,30/06/2025 14:36:01,Sunday,30/06/2025 14:36:01
